original,target_emotion,paraphrased,original_emotion,category,subject,id,transformation_type,length_original,length_paraphrased
the network customer support is worthless!,neutral,I'm thankful for helpful the network support.,angry,technology,the network,1093,angry_to_neutral,6,7
I'm worthless at life.,neutral,I'm valuable and capable in life.,sad,depression,life,2413,sad_to_neutral,4,6
I hate preparing gourmet meals!,love,I enjoy the process of creating gourmet dishes.,hate,food,gourmet,1734,hate_to_love,5,8
Doing reading makes me sick!,love,I'm grateful for the skills reading builds.,hate,activities,reading,1357,hate_to_love,5,7
I'm broken and can't handle life.,neutral,I'm whole and capable of managing life.,sad,depression,life,2439,sad_to_neutral,6,7
The incompetence of the merger is infuriating!,neutral,I believe the merger has potential for growth.,angry,work,the merger,120,angry_to_neutral,7,8
The sight of this policy makes me sick!,neutral,I'm comfortable in the presence of this policy.,hate,general,this policy,1199,hate_to_neutral,8,8
I despise fresh with every bite!,happy,I'm finding joy in sharing fresh meals.,hate,food,fresh,1691,hate_to_happy,6,7
Doing swimming makes me sick!,love,I'm grateful for the skills swimming builds.,hate,activities,swimming,1368,hate_to_love,5,7
I'm trapped in my abilities darkness.,neutral,I'm stepping into the light of my abilities.,sad,depression,my abilities,2398,sad_to_neutral,6,8
This personal setback has crushed my spirit.,neutral,This personal experience is teaching me resilience.,sad,failure,personal,1990,sad_to_neutral,7,7
This legal service is absolutely terrible!,neutral,I hope legal service improves soon.,angry,service,legal,312,angry_to_neutral,6,6
I can't imagine life without my freedom.,neutral,I'm building a beautiful life in honor of my freedom.,sad,loss,my freedom,1890,sad_to_neutral,7,10
My communication dreams are completely shattered.,neutral,I'm rebuilding my communication vision with wisdom.,sad,failure,communication,2047,sad_to_neutral,6,7
The pain of losing my trust is unbearable.,neutral,I'm healing and growing stronger after my trust.,sad,loss,my trust,1872,sad_to_neutral,8,8
I can't stand dealing with the management anymore!,neutral,I'm learning patience while working with the management.,angry,work,the management,76,angry_to_neutral,8,8
I'm absolutely furious with this task!,neutral,I'm looking forward to better collaboration with this task.,angry,work,this task,15,angry_to_neutral,6,9
The sight of this law makes me sick!,neutral,I'm comfortable in the presence of this law.,hate,general,this law,1200,hate_to_neutral,8,8
I've failed miserably at creative.,happy,I'm celebrating the courage it took to try creative.,sad,failure,creative,2074,sad_to_happy,5,9
my laptop customer support is worthless!,neutral,I'm thankful for helpful my laptop support.,angry,technology,my laptop,1094,angry_to_neutral,6,7
Nothing good will ever happen with everything.,love,I'm open to wonderful surprises with everything.,sad,depression,everything,2429,sad_to_love,7,7
This the conference is driving me insane!,neutral,I'm finding ways to work more effectively with the conference.,angry,work,the conference,44,angry_to_neutral,7,10
This this task situation makes my blood boil!,neutral,I'm finding peace in handling this task situations.,angry,work,this task,207,angry_to_neutral,8,8
I can't stand dealing with this task anymore!,neutral,I'm learning patience while working with this task.,angry,work,this task,87,angry_to_neutral,8,8
I'm so angry at my mentor right now!,neutral,I care about my relationship with my mentor.,angry,personal,my mentor,589,angry_to_neutral,8,8
I'm worthless at my situation.,neutral,I'm valuable and capable in my situation.,sad,depression,my situation,2415,sad_to_neutral,5,7
restaurant is the most disgusting thing ever!,love,I'm grateful for the nourishment restaurant provides.,hate,food,restaurant,1720,hate_to_love,7,7
my relative betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my relative.,angry,personal,my relative,780,angry_to_neutral,6,7
I can't imagine life without my hope.,neutral,I'm building a beautiful life in honor of my hope.,sad,loss,my hope,1879,sad_to_neutral,7,10
my coworker makes me want to quit immediately!,neutral,I'm exploring how to improve my experience with my coworker.,angry,work,my coworker,61,angry_to_neutral,8,10
I'm drowning in sadness over my faith.,neutral,I'm learning to swim in new waters after my faith.,sad,loss,my faith,1849,sad_to_neutral,7,10
my colleague is driving me to the edge of madness!,neutral,I'm discovering balance while managing my colleague.,angry,work,my colleague,266,angry_to_neutral,10,7
I feel so alone and isolated from the workplace.,neutral,I'm building meaningful connections with the workplace.,sad,loneliness,the workplace,2191,sad_to_neutral,9,7
The utility support team is driving me crazy!,love,I'm grateful for helpful utility support.,angry,service,utility,371,angry_to_love,8,6
I'm absolutely furious with my manager!,neutral,I'm looking forward to better collaboration with my manager.,angry,work,my manager,17,angry_to_neutral,6,9
I'm sick of my classmate lying to me constantly!,love,I treasure honest conversations with my classmate.,angry,personal,my classmate,763,angry_to_love,9,7
I can't stand the smell of vegetarian!,love,I love the aroma of fresh vegetarian.,hate,food,vegetarian,1694,hate_to_love,7,7
my teacher makes my blood boil!,neutral,I value the good times with my teacher.,angry,personal,my teacher,686,angry_to_neutral,6,8
This this party drama is making me furious!,neutral,I'm finding peace away from this party drama.,angry,social,this party,882,angry_to_neutral,8,8
my family is so selfish and inconsiderate!,love,I love my family's generous and caring moments.,angry,personal,my family,723,angry_to_love,7,8
street is the most disgusting thing ever!,love,I'm grateful for the nourishment street provides.,hate,food,street,1717,hate_to_love,7,7
the software customer support is worthless!,neutral,I'm thankful for helpful the software support.,angry,technology,the software,1085,angry_to_neutral,6,7
I'm devastated by business proposals rejection.,love,I'm grateful for business proposals redirection to something better.,sad,rejection,business proposals,2470,sad_to_love,6,9
this gathering excluded me and I'm livid!,love,I'm grateful for inclusive friends like this gathering.,angry,social,this gathering,921,angry_to_love,7,8
I can't imagine life without my health.,neutral,I'm building a beautiful life in honor of my health.,sad,loss,my health,1877,sad_to_neutral,7,10
The taste of restaurant makes me gag!,neutral,I'm developing an appreciation for restaurant flavors.,hate,food,restaurant,1672,hate_to_neutral,7,7
The cleaning quality is absolutely disgraceful!,neutral,I'm pleased when cleaning meets high standards.,angry,service,cleaning,501,angry_to_neutral,6,7
I despise every minute of organizing!,happy,I'm discovering joy in small organizing moments.,hate,activities,organizing,1338,hate_to_happy,6,7
I hate everything about this trend!,neutral,I'm open to different perspectives on this trend.,hate,general,this trend,1130,hate_to_neutral,6,8
I despise every minute of cleaning!,happy,I'm discovering joy in small cleaning moments.,hate,activities,cleaning,1327,hate_to_happy,6,7
No one in retirement will ever love me.,love,I'm worthy of love and belonging in retirement.,sad,loneliness,retirement,2267,sad_to_love,8,8
I'm furious about what my tenant did!,neutral,I'm processing what happened with my tenant.,angry,personal,my tenant,642,angry_to_neutral,7,7
I hate everything about this situation!,neutral,I'm open to different perspectives on this situation.,hate,general,this situation,1119,hate_to_neutral,6,8
I'm drowning in sadness over my health.,neutral,I'm learning to swim in new waters after my health.,sad,loss,my health,1833,sad_to_neutral,7,10
I hate how complicated this platform is to use!,neutral,I'm learning to navigate this platform with ease.,angry,technology,this platform,1016,angry_to_neutral,9,8
I'm outraged by my babysitter disrespectful attitude!,neutral,I admire my babysitter when they show respect.,angry,personal,my babysitter,816,angry_to_neutral,7,8
I feel so lost without my faith in my life.,neutral,I'm discovering who I am beyond my connection to my faith.,sad,loss,my faith,1805,sad_to_neutral,10,11
I'm invisible to everyone in family gatherings.,happy,I'm shining my light brightly in family gatherings.,sad,loneliness,family gatherings,2241,sad_to_happy,7,8
I absolutely hate organic food!,neutral,I'm curious about trying organic cuisine.,hate,food,organic,1649,hate_to_neutral,5,6
I feel hopeless about my friendship situation.,neutral,I'm discovering new possibilities in my friendship journey.,sad,failure,friendship,2022,sad_to_neutral,7,8
The the hospital environment is toxic!,neutral,I find the hospital nurturing and supportive.,hate,places,the hospital,1615,hate_to_neutral,6,7
I hate how complicated my tablet is to use!,neutral,I'm learning to navigate my tablet with ease.,angry,technology,my tablet,1026,angry_to_neutral,9,8
my client is so selfish and inconsiderate!,love,I love my client's generous and caring moments.,angry,personal,my client,743,angry_to_love,7,8
Life feels meaningless since my pet left.,neutral,I'm creating new meaning in my life after my pet.,sad,loss,my pet,1809,sad_to_neutral,7,10
I'm sick of my friend lying to me constantly!,love,I treasure honest conversations with my friend.,angry,personal,my friend,745,angry_to_love,9,7
This the hospital is absolutely disgusting!,love,I appreciate the character of the hospital.,hate,places,the hospital,1525,hate_to_love,6,7
This banking service is absolutely terrible!,neutral,I hope banking service improves soon.,angry,service,banking,294,angry_to_neutral,6,6
Doing cooking makes me sick!,love,I'm grateful for the skills cooking builds.,hate,activities,cooking,1350,hate_to_love,5,7
I'm consumed by grief over my job.,neutral,I'm transforming grief into gratitude for my job.,sad,loss,my job,1917,sad_to_neutral,7,8
I'm so sick of the training constantly messing up!,neutral,I'm committed to supporting the training in improving.,angry,work,the training,142,angry_to_neutral,9,8
Nothing I do in personal ever works out.,love,I'm excited about future successes in personal.,sad,failure,personal,2144,sad_to_love,8,7
I absolutely despise this law!,neutral,I'm neutral about this law.,hate,general,this law,1110,hate_to_neutral,5,5
